S.NO.,Date,SHIFT ,Incidnet No #,Data connecter,Priority,Alert/Incident,Name of the Shift Engineer,Handover Shift Engineer,Reported time Stamp,Responded Time stamp,MTTD (Mins),Resolution Time Stamp,MTTR    (Mins),Time To Breach SLA,Remaining Mins to Breach,Resolver Comments,VIP Users ,RULE,Service owner,Status,Remarks / Comments,False / True Positive,WHy False Positive,Justification,Quality Audit,Description,,,,,,,,,,,,,,,,,,,,
11,1-Sep-25,Night,211150,Sophos,High,Alert,Uday,"Venkat,Sarvesh",9/2/2025 1:39,9/2/2025 1:48,9.00,9/2/2025 1:58,19.00,9/2/2025 2:39,Resolved,"As checked the device (ARQ-FPC-095) initially, some of the sophos services are not running and after sometime when checked all sophos services are running successfully",No,Rule#280- Detect when One or more Sophos services are missing or not running.,Sentinel,Closed,Rule#280 - 1st Sept'25 (211150).xlsx,False Postive,Legitimate Asset,taken time to check the device in sophos console to check health status as clean,Pass,,,,,,,,,,,,,,,,,,,,,
12,1-Sep-25,Night,211153,AD,Medium,Incident,Aman,"Venkat,Sarvesh",9/2/2025 2:19,9/2/2025 2:23,4.00,9/2/2025 2:38,19.00,9/2/2025 6:19,Resolved,"Observed the events two IPs were seen source Ip - 192.168.10.34 and destination IP - 185.63.90.137 where the Ip is malicious with 11/94 in VT , no more details can be seen , also checked the sigin logs from the IP - 185.63.90.137 for pass 10 months , logs were seen",No,"Rule#167-Alert for IOCs related to Windows/ELF malware - IP, Hash IOCs - September 2021",Sentinel,Closed,No templet ,True Positive,,new alert was checking all the infon,Fail,Provide the timeline till when the template will be available.,,,,,,,,,,,,,,,,,,,,
13,1-Sep-25,Night,211157,Firewall,Low,Alert,Aman,"Venkat,Sarvesh",9/2/2025 2:58,9/2/2025 3:01,3.00,9/2/2025 3:27,29.00,9/2/2025 10:58,Resolved,"Triaging Steps performed : Check ip reputation - clean. Check history -- no suspicious activities Sign in logs / -- no suspicious closure comments :Observed the events, clean IPs and internal IPs detected,domain is also clean nothing suspicious Escalating (yes/ No) No",No,"Rule#015-Possible contact with a domain generated by a DGA
",Sentinel,Closed,Rule 015 - 1st Sept'25 (211157),BenignPositive,IP Clean,was checking previous to see the domain is from cymulate activity ,Pass,,,,,,,,,,,,,,,,,,,,,
14,2-Sep-25,Morning ,211158,AD,Medium,Alert,venkat,"Umika, Ashiesh & Dhroovi",9/1/2025 19:02,9/1/2025 19:06,4.00,9/1/2025 19:29,27.00,9/1/2025 23:02,Resolved,"Observed the events, source IP - 192.168.10.34 and destination IP - 50.16.27.236 where the ip is malicious with 4/94 in VT, no more details can be seen, also checked the logs from the detected IP for last 10 months, no logs were seen, and device is related to cymulate device. ",No,Rule#129-Suspicious Service Principal creation activityExhange Server Vulnerabilities Disclosed March 2021 IoC Match,Sentinel,Closed,No template,BenignPositive,Cymulate Attack,getting issue with AVD,Pass,Provide the timeline till when the template will be available.,,,,,,,,,,,,,,,,,,,,
15,2-Sep-25,Morning ,211159,AD,Medium,Alert,venkat,"Umika, Ashiesh & Dhroovi",9/1/2025 19:16,9/1/2025 19:19,3.00,9/1/2025 19:48,32.00,9/1/2025 23:16,Resolved,"User: eholland@arcutis.com, Location: US. closurecomments: Observed the events, as checked sign in logs there was no successful attempts from these ips from last 6 months, and ip(45.146.54.39), reputation was clean, there were no successful signin attempts were seen from these ip, the ip was vpn ip, no suspicious apps were used, closing it as FP",No,Rule#297 - Detecting unusual login patterns with behavior analytics rule,Sentinel,Closed,Rule#297 - 2nd Sep'25(211159).xlsx,False Postive,Legitimate user,getting issue with AVD,Pass,Provide justification for increased MTTR,,,,,,,,,,,,,,,,,,,,
16,2-Sep-25,Morning ,211160,Firewall,Medium,Alert,venkat,"Umika, Ashiesh & Dhroovi",9/1/2025 21:28,9/1/2025 21:35,7.00,9/1/2025 21:48,20.00,9/2/2025 1:28,Resolved,"Observed the events , checked the domain - sluaknhbsoe.com where it is a cymulate activity was seen also the source Ip - 192.168.10.34 (this is belongs to cymulate device, ARC-PC-044) and destination Ips are clean - 23.239.3.104, and by checking the logs, the detected url was denied category and the device action was blocked, no malicious activity was detected",No,"Rule#015-Possible contact with a domain generated by a DGA
",Sentinel,Closed,Rule#015 2nd Sep'25 (211160).xlsx,False Postive,IP Clean,taken time to investigation,Pass,Provide justification for increased MTTR,,,,,,,,,,,,,,,,,,,,
17,2-Sep-25,Morning ,211163,AD,Low,Alert,venkat,"Umika, Ashiesh & Dhroovi",9/2/2025 1:27,9/2/2025 1:28,1.00,9/2/2025 1:30,3.00,9/2/2025 9:27,Resolved,"Triaging Steps performed: Check ip reputation(2401:4900:1c18:7e6f:1d69:dd19:c58b:905 ) is clean check history -- no suspicious activities, closure comments: checked signin logs for the user pkejriwal@arcutis.com , location is IN and there are Non-Interactive signin logs reason being failed ""[Due to a configuration change made by your administrator) user is using known apps and device ,nothing suspicious . closing as FP",No,Rule#002-Attempt to bypass conditional access rule in Microsoft Entra ID,Sentinel,Closed,Rule#002 2nd Sep'2025 (211163).xlsx,False Postive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
18,2-Sep-25,Afternoon,211164,Firewall,Medium,Alert,Ashiesh,"Umika, Ashiesh & Dhroovi",9/2/2025 15:53,9/2/2025 15:55,2.00,9/2/2025 16:01,8.00,9/2/2025 19:53,Resolved,"Triaging Steps performed : check IP Reputation - clean , observed the events , checked the IPs(17.57.144.120 17.57.144.118-APPLE-ENGINEERING) no malicious Ip was seen, destination port was 5223 which is used for Apple Push Notification Service, nothing suspicious found.closing as FP",No,Rule#007-Fortinet - Beacon pattern detected,Sentinel,Closed,Rule 007- 2st SEP'25 (211164),False Postive,IP Clean,,Pass,,,,,,,,,,,,,,,,,,,,,
19,2-Sep-25,Afternoon,211166,AD,Medium,Alert,Ashiesh,"Umika, Ashiesh & Dhroovi",9/2/2025 18:27,9/2/2025 18:32,5.00,9/2/2025 18:42,15.00,9/2/2025 22:27,Resolved,"Triaging steps : Checked the events, user jgreenwood@arcutis.com has elevated his role by activating PIM( Role.WellKnownObjectName),and the IP is clean 71.232.228.91 and the location is US, checked the sign-in logs and audit logs ,No suspicious activity found, Escalating : No closing it as FP.",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016-Sep-02-25 (211166),False Postive,IP Clean,Working  on sharp alert,Pass,,,,,,,,,,,,,,,,,,,,,
20,2-Sep-25,Afternoon,211167,AD,Medium,Alert,Ashiesh,"Umika, Ashiesh & Dhroovi",9/2/2025 20:00,9/2/2025 20:01,1.00,9/2/2025 20:08,8.00,9/3/2025 0:00,Resolved,"Triaging Steps performed : Check ip reputation - clean. Check history -- No suspicious activities Sign in logs / -- no suspicious closure comments :Observed the events, checked signin logs for the user(npatel@arcutis.com,pburnett@arcutis.com ) location is US,IPs are clean ( 69.112.12.147,67.80.128.115) checked the sign-in logs known location US, and the applications also known applications only, there are all successful attempts only, No suspicious activities found so closing as FP",No,Rule#008-Signins From VPS Providers,Sentinel,Closed,Rule#008 2ndsep'2025 (211167),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
21,2-Sep-25,Afternoon,211168,AD,Medium,Alert,Ashiesh,"Umika, Ashiesh & Dhroovi",9/2/2025 20:57,9/2/2025 20:58,1.00,9/2/2025 21:46,49.00,9/3/2025 0:57,Resolved,"Checked events the ip is clean 27.123.145.26, checked the events the user athurston-c@arcutis.com, checked the non interactive sign-in logs , theloction is us and FJ the user is using known device, the apps is also known, taken confrimation from user, closing as FP.",No,Rule#021-Authentication Attempt from New Country,Sentinel,Closed,Rule021-SEP-2-25 (211168),FalsePositive,Legitimate user,"was in Call with L2, had doubt with the alert",Pass,,,,,,,,,,,,,,,,,,,,,
22,2-Sep-25,Afternoon,211169,AD,Medium,Alert,Ashiesh,"Umika, Ashiesh & Dhroovi",9/2/2025 22:00,9/2/2025 22:08,8.00,9/2/2025 22:14,14.00,9/3/2025 2:00,Resolved,"Observed the events , checked the logs  jgreenwood@arcutis.com was Updating policy and add policiy , no malicious activity was seen, Ip (4.156.4.2) is clean, closing this as FP.",No,Rule#263-Detect unauthorized or changes in AD which allows access to critical business assets and review,Sentinel,Closed,Rule#263 - 2th SEP'2025 (211169),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
23,2-Sep-25,Afternoon,211170,AD,Medium,Alert,Ashiesh,"Umika, Ashiesh & Dhroovi",9/2/2025 18:27,9/2/2025 18:32,5.00,9/2/2025 18:42,15.00,9/2/2025 22:27,Resolved,"Triaging steps : Checked the events, user eddie has elevated his role by activating PIM( Role.WellKnownObjectName),and the IP is clean 2603:8001:9d00:6e5c:893e:d915:da09:8b8e and the location is US, checked the sign-in logs and audit logs ,No suspicious activity found, Escalating : No closing it as FP.",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016-Sep-02-25 (211170),False Postive,IP Clean,,Pass,,,,,,,,,,,,,,,,,,,,,
24,2-Sep-25,Night,211171,O365,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/2/2025 22:30,9/2/2025 22:32,2.00,9/2/2025 22:38,8.00,9/3/2025 2:30,Resolved,"Observed the events , user - sochs@arcutis.com forwaded the email , subject - RE: Arcutis ARQ-234 Clinical PK MD updates / business related email which was sent recepient - ""archie@toxsolutionsinc.com"",""christa.gunawan@iqvia.com"",""cobiotechconsult@gmail.com"",""thomas.berg2@iqvia.com"",""aditi.samant@iqvia.com"",""jing.liu5@iqvia.com""/ No malicious activty was seen",No,"Rule#267-Detect outbound emails to public domains(Gmail, Yahoo etc)and review",Sentinel,Closed,Rule 267-Sept-02-25 (211171),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
25,2-Sep-25,Night,211172,AD,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/2/2025 22:35,9/2/2025 22:39,4.00,9/2/2025 22:47,12.00,9/3/2025 2:35,Resolved,"Observed the events , checked the sigin logs for the user - dlyons@arcutis.com and rcochran@arcutis.com as the action count was 6 and 7 , all known device and location was seen , MFA was satisfied no malicous activity was seen",No,Rule#017-Tracking Password Changes,Sentinel,Closed,Rule 017-Sept-2-25 ( 211172).xlsx,FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
26,2-Sep-25,Night,211173,AD,High,Alert,Aman,"Venkat , Sarvesh , Harish",9/2/2025 22:55,9/2/2025 22:55,0.00,9/2/2025 23:06,11.00,9/2/2025 23:55,Resolved,"observe the event user-admingbain@arcutis.com was seen where it was initiated by the user himself but the actions performed where [""User did not approve or deny the verification request.""hence no action where performed",No,Rule#033-Authentication Methods Changed for Privileged Account,Sentinel,Closed,Rule 033-Sept-2-25 ( 211173),False Positive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
27,2-Sep-25,Night,211174,AD,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/2/2025 23:27,9/2/2025 23:29,2.00,9/2/2025 23:31,4.00,9/3/2025 3:27,Resolved,"Observed the events , user - jgreenwood@arcutis.com was seen , checked the sigin logs for the user and as he is admin , no malicous activty was seen",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016-Sept-2-25 ( 211174),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
28,2-Sep-25,Night,211175,AD,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/2/2025 23:30,9/2/2025 23:32,2.00,9/2/2025 23:35,5.00,9/3/2025 3:30,Resolved,"Observed the events , user - adminlkarimisetti@arcutis.com was seen , where the role elevated was Microsoft Sentinel Playbook Operator , checked the sigin logs for the user , no malicious activity was seen",No,Rule#010-Account Elevated to New Role,Sentinel,Closed,Rule#010-Sept-2-25 (211175),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
29,2-Sep-25,Night,211176,Box,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/2/2025 23:30,9/2/2025 23:32,2.00,9/2/2025 23:44,14.00,9/3/2025 3:30,Resolved,Observed the events user - amanda j biedess and Matthew Erickson were seen where checked the box logs for the users no malicious files were seen,No,Rule#290- Detect High Volume of downloads/deletions in 24 hours time from BOX,Sentinel,Closed,Rule#290 - 2nd Sept'25(211176),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
30,2-Sep-25,Night,211177,AD,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/2/2025 23:40,9/2/2025 23:43,3.00,9/2/2025 23:53,13.00,9/3/2025 3:40,Resolved,"Observed the events , checked the sigin logs for the user - xliu@arcutis.com, , Location is US , IP - 108.53.218.237 is clean , known device was seen - ARC-PC-PF5BD3BZ, no malicious activty was seen",No,Rule#183-Detect passwordless authentication,Sentinel,Closed,Rule 183-Sept-2-25 (211177),FalsePositive,IP Clean ,,Pass,,,,,,,,,,,,,,,,,,,,,
31,2-Sep-25,Night,211178,AD,Medium,Incident,Aman,"Venkat , Sarvesh , Harish",9/3/2025 0:00,9/3/2025 0:03,3.00,9/3/2025 0:07,7.00,9/3/2025 4:00,Resolved,"Observed the events , checked the sigin logs for the user - tpollard@arcutis.com, failed attempts were seen where checked the IP- 2600:4040:12d5:400:18ac:4f26:3c93:1838 its clean , no malicious activity was detected",No,Rule#283- Attempts to sign in to disabled accounts by IP address,Sentinel,Closed,Rule#283 - 02nd Sept'2025 (211178),True Positive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
32,2-Sep-25,Night,211179,AD,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/3/2025 0:22,9/3/2025 0:24,2.00,9/3/2025 0:28,6.00,9/3/2025 4:22,Resolved,"Observed the events , user - adminjseibert@arcutis.com has iniated and configured for the user - tgeorge@arcutis.com, also checked the Ip - 2603:1036:2403::9 its clean no malicious activity was seen",No,Rule#003-New User configuration alert,Sentinel,Closed,Rule 003-Sept-2-25 ( 211179),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
33,2-Sep-25,Night,211180,AD,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/3/2025 0:30,9/3/2025 0:33,3.00,9/3/2025 0:44,14.00,9/3/2025 4:30,Resolved,"Observed the events , all failed attempts were seen , 22 events were detected and all clean IPs were seen and known location was detected i.e US , no malicious activity was seen",No,Rule#019-Signin Logs with expanded Conditional access policies,Sentinel,Closed,Rule 019- 02nd Sept'25 ( 211180),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
34,2-Sep-25,Night,211181,AD,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/3/2025 1:37,9/3/2025 1:41,4.00,9/3/2025 1:59,22.00,9/3/2025 5:37,Resolved,"Observed the events , user - sgreen@arcutis.com was seen checked the sigin logs for the users failed attempt was seen but where the IP is malicious - 72.203.88.106 3/94 in Virus total",No,Rule#297 - Detecting unusual login patterns with behavior analytics rule,Sentinel,Closed,Rule#297 - 02nd Sept'25(211181),False Postive,Legitimate user,took time for investigation of the user ,Fail,Provide justification for increased MTTR,,,,,,,,,,,,,,,,,,,,
35,2-Sep-25,Night,211182,AD,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/3/2025 1:57,9/3/2025 2:01,4.00,9/3/2025 2:11,14.00,9/3/2025 5:57,Resolved,"Observed the events , user - madison.perna@precisionvh.com / rebecca.hisler@the-considered.com / adminckrishnabheema@arcutis.com / all failed attempts were seen , the locations were IN and US , no malicious activtiy was seen",No,Rule#002-Attempt to bypass conditional access rule in Microsoft Entra ID,Sentinel,Closed,Rule#002 2nd Sep'2025 (211182),False Postive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
36,2-Sep-25,Night,211183,AD,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/3/2025 2:07,9/3/2025 2:10,3.00,9/3/2025 2:15,8.00,9/3/2025 6:07,Resolved,"Observed the events , user - jfrommer@arcutis.com was seen and 22 files were deleted , checked the Box events , no malicious files were seen",No,Rule#295- Detect the number of deletions or downloads from a particular user in a day.,Sentinel,Closed,Rule#295 2nd Sept'25 (211183),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
37,2-Sep-25,Night,211184,AD,Medium,Alert,Aman,"Venkat , Sarvesh , Harish",9/3/2025 2:46,9/3/2025 2:49,3.00,9/3/2025 3:01,15.00,9/3/2025 6:46,Resolved,"Observed the events , checked the IP and checked the sigin logs for the Ip - 35.133.228.192 where user chorton@arcutis.com was seen , the location is US , no malicious activity was seen",No,Rule#286- Atypical travel,Sentinel,Closed,Rule 286 - 02nd Sept25 (211184),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
38,2-Sep-25,Night,211185,AD,Medium,Alert,Navtesh,"Venkat , Sarvesh , Harish",9/3/2025 3:27,9/3/2025 3:28,1.00,9/3/2025 3:31,4.00,9/3/2025 7:27,Resolved,"Triaging steps : Checked the events, user lwalsh@arcutis.com has elevated his role by activating PIM( Role.WellKnownObjectName),and the IP is clean 71.232.228.91 and the location is US, checked the sign-in logs and audit logs ,No suspicious activity found, Escalating : No closing it as FP.",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016-Sep-02-25 (211185),False Postive,IP Clean,,Pass,,,,,,,,,,,,,,,,,,,,,
39,2-Sep-25,Night,211186,AD,Medium,Alert,Navtesh,"Venkat , Sarvesh , Harish",9/3/2025 3:27,9/3/2025 3:28,1.00,9/3/2025 3:31,4.00,9/3/2025 7:27,Resolved,"Observed the events , user - etheilig@arcutis.com was seen , checked the sigin logs for the user and as he is admin , no malicous activty was seen",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016-Sep-02-25 (211186),False Postive,IP Clean,,Pass,,,,,,,,,,,,,,,,,,,,,
40,2-Sep-25,Night,211187,Box,Medium,Alert,Navtesh,"Venkat , Sarvesh , Harish",9/3/2025 3:49,9/3/2025 3:50,1.00,9/3/2025 3:55,6.00,9/3/2025 7:49,Resolved,"Observed the events , user - jfrommer@arcutis.com was seen and 28 files were deleted Screen Shot 2021-09-20 at 18.30.29.png & Patricia Turney 2023 Short Bio.docx , checked the Box events , no malicious files were seen",No,Rule#295- Detect the number of deletions or downloads from a particular user in a day.,Sentinel,Closed,Rule#295-sep-02-25 ( 211187),False Positive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
41,2-Sep-25,Night,211188,AD,Medium,Alert,Navtesh,"Venkat , Sarvesh , Harish",9/3/2025 4:29,9/3/2025 4:30,1.00,9/3/2025 4:35,6.00,9/3/2025 8:29,Resolved,"Detected user Trusted Tech Team, Irvine technician, we could see the user is guest user and detected IPs is not present and sign in attempts are done from US and MFA satisfied and device is managed clean,Nothing suspicious, closing as false positive",No,Rule#269-Detect anonymous login from unknown IP address and review,Sentinel,Closed,Rule 269-sep-02-25 (211188),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
42,2-Sep-25,Night,211189,AD,High,Alert,Navtesh,"Venkat , Sarvesh , Harish",9/3/2025 6:00,9/3/2025 6:03,3.00,9/3/2025 6:07,7.00,9/3/2025 7:00,Resolved,"Observed the events , checked the IP and checked the sigin logs for the Ip - 2a09:bac2:813c:15d7::22d:4a where user pngo@arcutis.comwas seen , the location is US  all were failed attempts, no malicious activity was seen",No,Rule#286- Atypical travel,Sentinel,Closed,Rule 286 - 02nd Sept25 (211189),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
43,2-Sep-25,Night,211190,AD,High,Alert,Navtesh,"Venkat , Sarvesh , Harish",9/3/2025 6:10,9/3/2025 6:11,1.00,9/3/2025 6:16,6.00,9/3/2025 7:10,Resolved,"Observed the events , checked the IP and checked the sigin logs for the Ip - 2600:387:f:641a:0:0:0:c where user mkromer@arcutis.com was seen , the location is US , MFA is satisfied no malicious activity was seen",No,Rule#286- Atypical travel,Sentinel,Closed,Rule 286 - 02nd Sept25 (211190),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
44,2-Sep-25,Night,211191,AD,Medium,Alert,Navtesh,"Venkat , Sarvesh , Harish",9/3/2025 6:23,9/3/2025 6:25,2.00,9/3/2025 6:29,6.00,9/3/2025 10:23,Resolved,"Observed the events , user - adminjseibert@arcutis.com has intiated and configured for the user - mpresbyla@arcutis.com, also checked the Ip - 2603:1036:2403::9 its clean no malicious activity was seen",No,Rule#003-New User configuration alert,Sentinel,Closed,Rule 003-Sept-2-25 ( 211191),FalsePositive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
