S.NO.,Date,Month,SHIFT ,Incidnet No #,Data connecter,Priority,Alert/Incident,Name of the Shift Engineer,Handover Shift Engineer,Reported time Stamp,Responded Time stamp,MTTD (Mins),Resolution Time Stamp,MTTR    (Mins),Time To Breach SLA,Remaining Mins to Breach,Resolver Comments,VIP Users ,RULE,Service owner,Status,Remarks / Comments,False / True Positive,WHy False Positive,Justification,Quality Audit,Description,
11,1-Jul-25,July,Afternoon,208313,AD,Medium,Alert ,Uday,"Harish,Venkat",7/1/2025 20:27,7/1/2025 20:28,1.00,7/1/2025 20:33,6.00,7/2/2025 0:27,Resolved,"Observed the Events and checked user(lwalsh) was added into MS-PIM, nothing Suspicious activities found, closing as FP.",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016-July-01-25 ( 208313 ).xlsx,False Positive,Legitimate user,,Pass,,
12,1-Jul-25,July,Afternoon,208314,sophos,High,Alert ,Uday,"Harish,Venkat",7/1/2025 20:32,7/1/2025 20:33,1.00,7/1/2025 20:51,19.00,7/1/2025 21:32,Resolved,"Its a BAS testing, closing as False positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279-July-01-25 ( 208314 ).xlsx,False Positive,BAS Testing,,Pass,,
13,1-Jul-25,July,Afternoon,208315,AD,Medium,Alert ,Uday,"Harish,Venkat",7/1/2025 20:57,7/1/2025 20:58,1.00,7/1/2025 21:06,9.00,7/2/2025 0:57,Resolved,"triaging steps performed:checked IP Reputation Clean, observed the events checked the IP's no malicious IP's detected,checked history-sign in logs of the users and the location are DE, observed that No successfull attempts found due to Access has been blocked due to conditional access policies and user using known apps and IP is clean No suspicious activity found closing as false positive",No,Rule#021-Authentication Attempt from New Country,Sentinel,Closed,Rule 021-July-01-25 ( 208315 ).xlsx,False Positive,Legitimate user,,Pass,,
14,1-Jul-25,July,Afternoon,208316,AD,Medium,Alert ,Uday,"Harish,Venkat",7/1/2025 21:00,7/1/2025 21:02,2.00,7/1/2025 21:07,7.00,7/2/2025 1:00,Resolved,"checked events all users are using Nord VPN, one user is using different ip checked sign in logs,, user is using known apps and device and IP is clean and location is US, nothing suspicious found, closing as FP.",No,Rule#008-Signins From VPS Providers,Sentinel,Closed,Rule 008-July-01-25 ( 208316 ).xlsx,False Positive,Nord VPN,,Pass,,
15,1-Jul-25,July,Afternoon,208317,sophos,High,Alert ,Uday,"Harish,Venkat",7/1/2025 21:02,7/1/2025 21:03,1.00,7/1/2025 21:08,6.00,7/1/2025 22:02,Resolved,"Its a BAS testing, closing as False positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279-July-01-25 ( 208317 ).xlsx,False Positive,BAS Testing,,Pass,,
16,1-Jul-25,July,Afternoon,208318,sophos,High,Alert ,Uday,"Harish,Venkat",7/1/2025 21:55,7/1/2025 21:57,2.00,7/1/2025 22:21,26.00,7/1/2025 22:55,Resolved,Triaging Steps performed: Check ip reputation - clean. Check hostname .. ARQ-00447 Check history – for 90 day s/ 30 days.. etc – NA Check signin logs -- All services are running currently. NA Escalating (Yes/ No) Yes Closure comments for TP / FP / Benign Positive: FP,No,Rule#280- Detect when One or more Sophos services are missing or not running.,Sentinel,Closed,Rule 280-July-01-25 ( 208318 ).xlsx,False Positive,Legitimate user,,Fail,Provide Proper justification for increased MTTR,
17,1-Jul-25,July,Afternoon,208319,Box,Medium,Alert ,Uday,"Harish,Venkat",7/1/2025 22:00,7/1/2025 22:11,11.00,7/1/2025 22:23,23.00,7/2/2025 2:00,Resolved,"Triaging steps: By observing the events external user from external domain accessed folders which are business related, by observings additional details, these all are collaboration invites for business purpose and communications, IP are clean nothing suspicious found, closing it as a false positive Escalating (Yes/ No) No.",No,Rule#006-Box - Item shared to external entity,Sentinel,Closed,Rule 006-July-01-25 ( 208319 ).xlsx,False Positive,Legitimate user,,Fail,Provide Proper justification for increased MTTR,
18,1-Jul-25,July,Night,208320,Avanan,Medium,Alert,Harish,"Umika, Sarvesh & Ashiesh",7/1/2025 22:32,7/1/2025 22:34,2.00,7/1/2025 22:39,7.00,7/2/2025 2:32,Resolved,"Triaging Steps performed : Observed the events, Arcutis users sent business related mail, No suspicious mail or activity was detected, Closing as false positive",No,"Rule#267-Detect outbound emails to public domains(Gmail, Yahoo etc)and review",Sentinel,Closed,Rule#267 1 July'2025 (208320),False Positive,Legitimate user,,Pass,,
19,1-Jul-25,July,Night,208321,AD,Medium,Alert,Harish,"Umika, Sarvesh & Ashiesh",7/1/2025 22:35,7/1/2025 22:36,1.00,7/1/2025 22:43,8.00,7/2/2025 2:35,Resolved,"Triaging steps: checked events as well as audit logs of the users, users changed the passwords successfully ,action count was less, detected IP' are clean, Nothing suspicious found ,closing it as false positive Escalating (Yes/ No) No.",No,Rule#017-Tracking Password Changes,Sentinel,Closed,Rule 017 - 1st July'25 (208321),False Positive,Legitimate user,,Pass,,
20,1-Jul-25,July,Night,208322,AD,Medium,Alert ,Venkat,"Umika, Sarvesh & Ashiesh",7/1/2025 23:27,7/1/2025 23:28,1.00,7/1/2025 23:31,4.00,7/2/2025 3:27,Resolved,"Observed the Events and checked user (jgreenwood@arcutis.com) was added role into MS-PIM, nothing Suspicious activities found, closing as FP",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016 1st July'25 (208322).xlsx,False Positive,Legitimate user,,Pass,,
21,1-Jul-25,July,Night,208323,Box,Medium,Alert,venkat,"Umika, Sarvesh & Ashiesh",7/1/2025 23:30,7/1/2025 23:32,2.00,7/1/2025 23:48,18.00,7/2/2025 3:30,Resolved,"Triaging steps: observed the events , checked the BOX logs for the users ,arcutis users downloaded files from Box, no malicious activity detected, so closing it as a false positive Escalating (Yes/ No) No",No,Rule#290- Detect High Volume of downloads/deletions in 24 hours time from BOX,Sentinel,Closed,Rule#290 1st July'25(208323).xlsx,False Positive,Legitimate user,,Pass,,
22,1-Jul-25,July,Night,208324,AD,Medium,Alert,venkat,"Umika, Sarvesh & Ashiesh",7/1/2025 23:30,7/1/2025 23:33,3.00,7/1/2025 23:46,16.00,7/2/2025 3:30,Resolved,"Triaging Steps performed : Observed the events, SOC Team members have elevated role by activating PIM ,it is legitimate activity Nothing suspicious, Closing as False positive, Escalating - No",No,Rule#010-Account Elevated to New Role,Sentinel,Closed,Rule#010 1st July'25 (208324).xlsx,False Positive,Legitimate user,,Pass,,
23,1-Jul-25,July,Night,208325,sophos,High,Alert ,Harish,"Umika, Sarvesh & Ashiesh",7/1/2025 23:52,7/1/2025 23:54,2.00,7/1/2025 23:59,7.00,7/2/2025 0:52,Resolved,"Its a BAS testing, closing as False positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279- 1st July'25 ( 208325),False Positive,BAS Testing,,Pass,,
24,1-Jul-25,July,Night,208326,AD,Low,Alert ,Harish,"Umika, Sarvesh & Ashiesh",7/2/2025 1:11,7/2/2025 1:12,1.00,7/2/2025 1:24,13.00,7/2/2025 9:11,Resolved,"Triaging Steps performed: Check ip reputation - clean. check history -- no suspicious activities, closure comments: Observed the events, detected users from US,CR, MX & IN location only and there are Non-Interactive signin logs detected, reason being failed ""Access has been blocked due to conditional access policies"" No suspicious activity found",No,Rule#002-Attempt to bypass conditional access rule in Microsoft Entra ID,Sentinel,Closed,Rule#002 -01-Jul'25 (208326),False Positive,IP Clean,Working on other alert ,Pass,,
25,1-Jul-25,July,Night,208327,sophos,High,Alert ,Harish,"Umika, Sarvesh & Ashiesh",7/2/2025 1:42,7/2/2025 1:44,2.00,7/2/2025 1:48,6.00,7/2/2025 2:42,Resolved,"Its a BAS testing, closing as False positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279- 1st July'25 ( 208327),False Positive,BAS Testing,,Pass,,
26,1-Jul-25,July,Night,208328,AD,Medium,Alert ,venkat,"Umika, Sarvesh & Ashiesh",7/1/2025 14:57,7/1/2025 15:02,5.00,7/1/2025 15:19,22.00,7/1/2025 18:57,Resolved,"Observed the Events and checked user (jgreenwood@arcutis.com) was added role into MS-PIM, nothing Suspicious activities found, closing as FP",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016 1st July'25 (208328).xlsx,False Positive,Legitimate user,facing isuue with rdp by multiple times disconnecting ,Pass,,
27,1-Jul-25,July,Night,208329,sophos,High,Alert ,venkat,"Umika, Sarvesh & Ashiesh",7/1/2025 17:08,7/1/2025 17:17,9.00,7/1/2025 18:06,58.00,7/1/2025 18:08,Resolved,Bas Testomg,No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279 01st July'25(208329).xlsx,Benign Positive,BAS Testing,facing isuue with rdp by multiple times disconnecting ,Pass,,
28,1-Jul-25,July,Night,208330,sophos,High,Alert ,venkat,"Umika, Sarvesh & Ashiesh",7/1/2025 18:57,7/1/2025 19:25,28.00,7/1/2025 19:29,32.00,7/1/2025 19:57,Resolved,Bas Testomg,No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279 01st July'25(208330).xlsx,Benign Positive,BAS Testing,facing isuue with rdp by multiple times disconnecting ,Pass,,
29,2-Jul-25,July,Morning,208331,sophos,High,Alert ,Navtesh,"Aman, Uday, Saranya & Dhroovi",7/2/2025 7:21,7/2/2025 7:22,1.00,7/2/2025 7:22,1.00,7/2/2025 8:21,Resolved,"Its a BAS testing, closing as  benign positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279-July-02-25 ( 208331),Benign Positive,BAS Testing,,Pass,,
30,2-Jul-25,July,Morning,208332,Avanan,Medium,Alert ,Navtesh,"Aman, Uday, Saranya & Dhroovi",7/2/2025 9:26,7/2/2025 9:27,1.00,7/2/2025 9:34,8.00,7/2/2025 13:26,Resolved,"Triaging Steps performed: Check ip reputation - clean. Critical anomaly is related to new country, user attempted login from SG location but attempt is failed due to conditinal access policy. Checked sign in logs, IP is clean and user using known apps.Nothing suspicious found. closing as false positive. Escalating (yes/ No) No",No,"Rule#289- Detect critical Anomaly alerts related to Avanan
",Sentinel,Closed,Rule#289-June-2-25 (208332),False Positive,Legitimate user,,Pass,,
31,2-Jul-25,July,Morning,208333,Avanan,Medium,Alert ,Navtesh,"Aman, Uday, Saranya & Dhroovi",7/2/2025 9:29,7/2/2025 9:32,3.00,7/2/2025 9:35,6.00,7/2/2025 13:29,Resolved,Duplicate of alert 208332,No,"Rule#289- Detect critical Anomaly alerts related to Avanan
",Sentinel,Closed,Duplicate of alert 208332,False Positive,Legitimate user,,Pass,,
32,2-Jul-25,July,Morning,208334,sophos,High,Alert ,Navtesh,"Aman, Uday, Saranya & Dhroovi",7/2/2025 10:17,7/2/2025 10:18,1.00,7/2/2025 10:23,6.00,7/2/2025 11:17,Resolved,"Its a BAS testing, closing as  benign positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279-July-02-25 ( 208334),Benign Positive,BAS Testing,,Pass,,
33,2-Jul-25,July,Morning,208335,Box,Medium,Alert ,Navtesh,"Aman, Uday, Saranya & Dhroovi",7/2/2025 10:29,7/2/2025 10:30,1.00,7/2/2025 11:06,37.00,7/2/2025 14:29,Resolved,"observed the events, the user is sjain@arcutis.com and 4 files have been downloaded, count is less, all are business related files checked box events no suspicious activtiy was seen, closing as FP",No,Rule#295- Detect the number of deletions or downloads from a particular user in a day.,Sentinel,Closed,Rule#295-July-2-25 (208335),False Positive,Legitimate user,Workspace not working,Pass,,
34,2-Jul-25,July,Morning,208336,sophos,High,Alert ,Navtesh,"Aman, Uday, Saranya & Dhroovi",7/2/2025 12:12,7/2/2025 12:13,1.00,7/2/2025 12:17,5.00,7/2/2025 13:12,Resolved,"Its a BAS testing, closing as  benign positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279-July-02-25 ( 208336),Benign Positive,BAS Testing,,Pass,,
35,2-Jul-25,July,Morning,208337,AD,Medium,Alert ,Navtesh,"Aman, Uday, Saranya & Dhroovi",7/2/2025 12:30,7/2/2025 12:31,1.00,7/2/2025 12:35,5.00,7/2/2025 16:30,Resolved,"Triaging Steps performed : Check history -- no suspicious activities Sign in logs / -- no suspicious closure comments :Observed the events detected countries US and IN only no successfull attempt , guest sigin policy with clean IP, nothing suspicious. Escalating (yes/ No) No",No,Rule#019-Signin Logs with expanded Conditional access policies,Sentinel,Closed,Rule 019-June-2-25 ( 208337),False Positive,Legitimate user,,Pass,,
36,2-Jul-25,July,Morning,208338,sophos,High,Alert ,Navtesh,"Aman, Uday, Saranya & Dhroovi",7/2/2025 12:57,7/2/2025 12:58,1.00,7/2/2025 13:01,4.00,7/2/2025 13:57,Resolved,"Its a BAS testing, closing as  benign positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279-July-02-25 ( 208338),Benign Positive,BAS Testing,,Pass,,
37,2-Jul-25,July,Morning,208339,AD,Medium,Alert ,Navtesh,"Aman, Uday, Saranya & Dhroovi",7/2/2025 13:05,7/2/2025 13:06,1.00,7/2/2025 13:10,5.00,7/2/2025 17:05,Resolved,"Triaging steps: IP : Clean, Closure comments :Observed events, checked sign in logs of users(lfreson@arcutis.com), clean IP, using registered devices and known apps nothing suspicious found , closing as a false positive",No,Rule#183-Detect passwordless authentication,Sentinel,Closed,Rule#183 02-Jul'25 (208339),False Positive,Legitimate user,,Pass,,
38,2-Jul-25,July,Morning,208340,AD,Low,Alert ,Navtesh,"Aman, Uday, Saranya & Dhroovi",7/2/2025 13:11,7/2/2025 13:12,1.00,7/2/2025 13:17,6.00,7/2/2025 21:11,Resolved,"Triaging steps: IP : Clean, Closure comments : Observed the events , checked the logs for the users , all failed attemps were seen , known clean Ips were seen. location US,IN,MX, guest MFA enabled for users nothing supicious found.",no,Rule#002-Attempt to bypass conditional access rule in Microsoft Entra ID,Sentinel,Closed,Rule#002 -02-Jul'25 (208340),False Positive,Legitimate user,,Pass,,
39,2-Jul-25,July,Morning,208341,sophos,High,Alert ,Navtesh,"Aman, Uday, Saranya & Dhroovi",7/2/2025 13:27,7/2/2025 13:29,2.00,7/2/2025 13:33,6.00,7/2/2025 14:27,Resolved,"Its a BAS testing, closing as  benign positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279-July-02-25 ( 208341),Benign Positive,BAS Testing,,Pass,,
40,2-Jul-25,July,Afternoon,208342,sophos,High,Alert ,Saranya,Venkat & Harish,7/2/2025 16:17,7/2/2025 16:18,1.00,7/2/2025 16:21,4.00,7/2/2025 17:17,Resolved,"Its a BAS testing, closing as  benign positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279-July-02-25 ( 208342 ).xlsx,Benign Positive,BAS Testing,,Pass,,
41,2-Jul-25,July,Afternoon,208343,sophos,High,Alert ,Saranya,Venkat & Harish,7/2/2025 16:57,7/2/2025 16:59,2.00,7/2/2025 17:03,6.00,7/2/2025 17:57,Resolved,"Its a BAS testing, closing as  benign positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279-July-02-25 ( 208343 ).xlsx,Benign Positive,BAS Testing,,Pass,,
42,2-Jul-25,July,Afternoon,208344,AD,Medium,Alert ,Uday,Venkat & Harish,7/2/2025 17:27,7/2/2025 17:29,2.00,7/2/2025 17:27,0.00,7/2/2025 21:27,Resolved,"Observed the Events and checked user (jgreenwood@arcutis.com) was added role into MS-PIM, nothing Suspicious activities found, closing as FP",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016-July-02-25 ( 208344 ).xlsx,False Positive,Legitimate user,,Pass,,
43,2-Jul-25,July,Afternoon,208345,sophos,High,Alert ,Uday,Venkat & Harish,7/2/2025 19:42,7/2/2025 19:44,2.00,7/2/2025 19:49,7.00,7/2/2025 20:42,Resolved,"Its a BAS testing, closing as  benign positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279-July-02-25 ( 208345 ).xlsx,Benign Positive,BAS Testing,,Pass,,
44,2-Jul-25,July,Afternoon,208346,AD,Medium,Incident ,Uday,Venkat & Harish,7/2/2025 19:53,7/2/2025 19:57,4.00,7/2/2025 20:03,10.00,7/2/2025 23:53,Resolved,"Triaging Steps performed : Check ip reputation - Clean Closure comments - By observing the events, the user account Cmartinson@arcutis.com, sign in from CN location and triggered ips are not malicious, but by checking the sign-in logs of this account no successful attempt found, Escalating (Yes/ No) No. Closure comments for TP",No,Rule#184-P1- Sign-in attempts from block listed countries.,Sentinel,Closed,Rule#184-July-02-25 ( 208346 ).xlsx,True Positive,,,Pass,,
45,2-Jul-25,July,Afternoon,208347,AD,Medium,Alert ,Uday,Venkat & Harish,7/2/2025 19:53,7/2/2025 19:57,4.00,7/2/2025 20:03,10.00,7/2/2025 23:53,Resolved,"Observed the Events and checked user (Eddie) was added role into MS-PIM, nothing Suspicious activities found, closing as FP",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016-July-02-25 ( 208347 ).xlsx,False Positive,Legitimate user,,Pass,,
46,2-Jul-25,July,Afternoon,208348,AD,Medium,Incident ,Uday,Venkat & Harish,7/2/2025 19:58,7/2/2025 19:59,1.00,7/2/2025 20:08,10.00,7/2/2025 23:58,Resolved,"Triaging steps performed:checked IP Reputation Clean, observed the events checked the IP's no malicious IP's detected,checked history-sign in logs of the users and the location are GT, KE observed that No successfull attempts found due to Access has been blocked due to conditional access policies and user using known apps and IP is clean No suspicious activity found closing as false positive",No,Rule#021-Authentication Attempt from New Country,Sentinel,Closed,Rule 021-Junly-02-25 ( 208348 ).xlsx,True Positive,,,Pass,,
47,2-Jul-25,July,Afternoon,208349,AD,Medium,Alert ,Uday,Venkat & Harish,7/2/2025 21:00,7/2/2025 21:02,2.00,7/2/2025 21:08,8.00,7/3/2025 1:00,Resolved,"checked events all users are using Nord VPN, one user is using different ip checked sign in logs,, user is using known apps and device and IP is clean and location is US, nothing suspicious found, closing as FP.",Yes,Rule#008-Signins From VPS Providers,Sentinel,Closed,Rule 008-July-02-25 ( 208349 ).xlsx,False Positive,Nord VPN,,Pass,,
48,2-Jul-25,July,Afternoon,208350,sophos,High,Alert ,Uday,Venkat & Harish,7/2/2025 21:22,7/2/2025 21:23,1.00,7/2/2025 21:24,2.00,7/2/2025 22:22,Resolved,"Its a BAS testing, closing as  benign positive",No,Rule#279- Detect when Alert Triggered in Sophos.,Sentinel,Closed,Rule#279-July-02-25 ( 208350 ).xlsx,Benign Positive,BAS Testing,,Pass,,
49,2-Jul-25,July,Afternoon,208351,AD,Medium,Alert ,Uday,Venkat & Harish,7/2/2025 21:27,7/2/2025 21:30,3.00,7/2/2025 21:33,6.00,7/3/2025 1:27,Resolved,"Observed the Events and checked user(lwalsh) was added into MS-PIM, nothing Suspicious activities found, closing as FP.",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016-July-02-25 ( 208351 ).xlsx,False Positive,Legitimate user,,Pass,,
50,2-Jul-25,July,Afternoon,208352,Box,Medium,Alert ,Uday,Venkat & Harish,7/2/2025 21:37,7/2/2025 21:40,3.00,7/2/2025 21:43,6.00,7/3/2025 1:37,Resolved,"observed the events , the user is jjaworski@arcutis.com and 6 files have been deleted, count is less, all are business related files checked box events no suspicious activtiy was seen, closing as FP.",No,Rule#295- Detect the number of deletions or downloads from a particular user in a day.,Sentinel,Closed,Rule#295-July-02-25 ( 208352 ).xlsx,False Positive,Legitimate user,,Pass,,
51,2-Jul-25,July,Afternoon,208353,Box,Medium,Alert ,Saranya,Venkat & Harish,7/2/2025 22:00,7/2/2025 22:03,3.00,7/2/2025 22:07,7.00,7/3/2025 2:00,Resolved,"Triaging steps: By observing the events external user from external domain accessed folders which are business related, by observings additional details, these all are collaboration invites for business purpose and communications, IP are clean nothing suspicious found, closing it as a false positive Escalating (Yes/ No) No.",No,Rule#006-Box - Item shared to external entity,Sentinel,Closed,Rule 006-July-02-25 ( 208353 ).xlsx,False Positive,Legitimate user,,Pass,,
52,2-Jul-25,July,Afternoon,208354,AD,Medium,Alert ,Saranya,Venkat & Harish,7/2/2025 22:27,7/2/2025 22:29,2.00,7/2/2025 22:31,4.00,,Resolved,"Observed the Events and checked user (jgreenwood@arcutis.com) was added role into MS-PIM, nothing Suspicious activities found, closing as FP",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016-July-02-25 ( 208354 ).xlsx,False Positive,Legitimate user,,Pass,,
53,2-Jul-25,July,Night,208355,Avanan,Medium,Alert,Harish,"Umika,  Ashiesh",7/2/2025 22:32,7/2/2025 22:35,3.00,7/2/2025 22:40,8.00,7/3/2025 2:32,Resolved,"Triaging Steps performed : Observed the events, Arcutis user sent business related mail, No suspicious mail or activity was detected, Closing as false positive",No,"Rule#267-Detect outbound emails to public domains(Gmail, Yahoo etc)and review",Sentinel,Closed,Rule#267 2nd July'2025 (208355),False Positive,Legitimate user,,Pass,,
